id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
1,Hinjewadi,1279,3,2,2012,1,7602175
2,Pimpri-Chinchwad,1216,3,3,1990,0,7278583
3,Kalyani Nagar,3707,5,5,1991,1,34318438
4,Koregaon Park,749,1,2,2009,0,9102302
5,Pimpri-Chinchwad,728,1,1,2013,0,4409834
6,Viman Nagar,1321,3,2,1997,1,10185650
7,Viman Nagar,1083,2,2,2020,1,9667431
8,Viman Nagar,3897,5,5,2006,1,30774231
9,Kalyani Nagar,521,1,2,2021,1,6049846
10,Hinjewadi,524,1,1,2005,0,2853467
11,Kalyani Nagar,1369,3,2,2014,0,13688709
12,Koregaon Park,671,1,2,2005,0,7536227
13,Kalyani Nagar,3738,5,4,1993,1,34551365
14,Kalyani Nagar,1270,3,3,1991,1,11512792
15,Viman Nagar,2482,4,4,2025,1,21140504
16,Koregaon Park,2016,4,3,2014,1,25816568
17,Hinjewadi,1670,3,3,2016,1,10394718
18,Pimpri-Chinchwad,582,1,1,2004,1,3757598
19,Pimpri-Chinchwad,1351,3,3,2024,0,9634281
20,Pimpri-Chinchwad,879,2,2,1991,1,5434067
21,Hinjewadi,2364,4,3,2025,1,14449084
22,Koregaon Park,3018,5,5,2017,1,36345314
23,Kalyani Nagar,3775,5,4,2010,1,38684905
24,Kalyani Nagar,3030,5,4,2001,0,27773296
25,Pimpri-Chinchwad,2308,4,3,2014,1,14248491
26,Viman Nagar,1514,3,2,2002,1,12655135
27,Kalyani Nagar,677,1,2,2013,0,6711746
28,Kalyani Nagar,3229,5,4,2007,1,32340692
29,Viman Nagar,741,1,2,2016,0,6027572
30,Viman Nagar,3999,5,5,1994,1,30067290
31,Koregaon Park,1913,4,4,2005,1,23185599
32,Kalyani Nagar,2276,4,4,2025,1,23653309
33,Viman Nagar,2399,4,4,2007,1,20135610
34,Viman Nagar,622,1,1,2013,1,5488083
35,Koregaon Park,610,1,1,2001,0,6730063
36,Pimpri-Chinchwad,1520,3,2,2008,1,9456993
37,Pimpri-Chinchwad,2357,4,3,2014,1,15935947
38,Koregaon Park,4123,5,5,2000,1,46392037
39,Pimpri-Chinchwad,1538,3,3,1999,1,9932074
40,Pimpri-Chinchwad,856,2,2,1994,0,5160310
41,Pimpri-Chinchwad,824,2,2,2004,0,5433604
42,Pimpri-Chinchwad,2972,5,5,2006,1,18347117
43,Pimpri-Chinchwad,587,1,2,2013,0,3903526
44,Hinjewadi,1314,3,2,2005,0,7527344
45,Pimpri-Chinchwad,677,1,2,2022,0,4513969
46,Viman Nagar,2018,4,4,1998,1,15182479
47,Koregaon Park,677,1,2,2019,1,8804121
48,Pimpri-Chinchwad,952,2,2,1998,1,5960573
49,Kalyani Nagar,1954,4,3,1996,1,17939473
50,Koregaon Park,940,2,2,2012,1,12071533
51,Kalyani Nagar,1095,2,2,1990,0,9956492
52,Koregaon Park,1896,4,4,1994,1,20902622
53,Koregaon Park,1595,3,3,2003,1,18803535
54,Viman Nagar,1474,3,2,1991,0,11293165
55,Pimpri-Chinchwad,534,1,2,2018,0,3823790
56,Kalyani Nagar,3562,5,5,2009,1,33483553
57,Kalyani Nagar,2700,5,5,2003,1,25470017
58,Hinjewadi,690,1,1,2021,0,4172459
59,Hinjewadi,979,2,2,2002,1,5729475
60,Viman Nagar,1520,3,3,2018,0,13282241
61,Kalyani Nagar,504,1,2,2017,1,5744917
62,Kalyani Nagar,703,1,2,2005,1,7187261
63,Hinjewadi,3993,5,5,2023,1,23232265
64,Koregaon Park,1059,2,2,2009,1,12603946
65,Hinjewadi,2122,4,4,1997,1,11798857
66,Hinjewadi,947,2,2,1997,1,5359593
67,Viman Nagar,694,1,1,1993,0,5304067
68,Kalyani Nagar,2216,4,3,2015,1,22757250
69,Pimpri-Chinchwad,3470,5,5,2006,1,20891176
70,Viman Nagar,4153,5,5,1997,1,29547265
71,Hinjewadi,634,1,2,2008,0,3696481
72,Viman Nagar,2946,5,5,2026,1,27050430
73,Viman Nagar,2247,4,4,1993,1,16096877
74,Koregaon Park,1282,3,2,1998,1,15087870
75,Hinjewadi,1022,2,2,2017,0,6319713
76,Koregaon Park,4093,5,5,2005,1,46465385
77,Koregaon Park,517,1,2,2009,1,6376255
78,Koregaon Park,2544,4,4,2005,0,28213770
79,Kalyani Nagar,1135,2,2,2007,1,11364289
80,Pimpri-Chinchwad,654,1,1,2019,1,4659712
81,Koregaon Park,642,1,1,2001,1,7056852
82,Hinjewadi,2004,4,3,2021,1,12349494
83,Kalyani Nagar,988,2,2,2007,1,9849958
84,Kalyani Nagar,4169,5,5,2000,1,38881386
85,Hinjewadi,973,2,2,2024,1,6482772
86,Pimpri-Chinchwad,2828,5,4,2015,1,19223140
87,Hinjewadi,2820,5,5,2005,1,15529365
88,Kalyani Nagar,748,1,1,2020,0,7782236
89,Kalyani Nagar,1397,3,2,2024,1,15796582
90,Viman Nagar,503,1,1,2020,1,4721456
91,Pimpri-Chinchwad,816,2,2,2001,0,5219303
92,Hinjewadi,1830,4,4,2023,1,11534863
93,Koregaon Park,3197,5,5,2012,1,38986003
94,Koregaon Park,569,1,2,2012,0,7184970
95,Hinjewadi,1417,3,3,2015,1,8960597
96,Koregaon Park,2494,4,3,2000,1,27197119
97,Koregaon Park,1041,2,2,1990,0,10853152
98,Viman Nagar,3205,5,4,2026,1,28505595
99,Pimpri-Chinchwad,2188,4,4,2013,1,14653360
100,Viman Nagar,1834,4,4,2021,1,16884587
101,Kalyani Nagar,2440,4,3,2010,1,23382469
102,Pimpri-Chinchwad,669,1,1,2003,0,4104045
103,Hinjewadi,955,2,2,2010,0,5762450
104,Viman Nagar,575,1,1,2012,1,4883955
105,Viman Nagar,1048,2,2,2002,0,7989713
106,Pimpri-Chinchwad,1370,3,2,2016,1,9463769
107,Kalyani Nagar,3406,5,5,2014,1,33719269
108,Kalyani Nagar,2185,4,4,2003,1,21377672
109,Koregaon Park,2553,4,4,2013,0,31175920
110,Koregaon Park,1594,3,3,1999,0,18334972
111,Koregaon Park,553,1,2,1998,0,6457719
112,Kalyani Nagar,3751,5,4,2005,1,36861347
113,Hinjewadi,1043,2,2,2024,1,6857035
114,Koregaon Park,696,1,2,2004,0,7957944
115,Viman Nagar,914,2,2,2015,0,8076181
116,Pimpri-Chinchwad,676,1,1,2012,0,4408677
117,Koregaon Park,1584,3,3,1990,1,17087760
118,Kalyani Nagar,733,1,1,2000,1,7042434
119,Kalyani Nagar,1083,2,2,2017,0,11478648
120,Kalyani Nagar,570,1,1,1996,0,5468831
121,Viman Nagar,1407,3,2,1994,0,11011174
122,Kalyani Nagar,637,1,1,2020,0,6867400
123,Viman Nagar,1038,2,2,2002,1,8714498
124,Kalyani Nagar,2762,5,4,2009,1,26970140
125,Hinjewadi,1350,3,2,1992,1,7448394
126,Kalyani Nagar,1800,4,4,2013,1,19068717
127,Hinjewadi,2538,4,4,2013,1,14703642
